Order ID,Order Date,Ship Date,Customer Id,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD1000,20-11-2024,25-11-2024,CUST251,April Gutierrez,Home Office,PROD4309,Sancks,Grocery,North,Arizona,Andrewsfort,3,3812,10,10292.4,6443.42,3848.98,Cash,Pending,Conley and Sons,darrensolomon@jones-sanchez.com,50,No,0
ORD1001,15-08-2024,20-08-2024,CUST745,Deborah Baldwin,Consumer,PROD6853,Keyboard,Electronics,West,Vermont,Michaelborough,1,1465,20,1172,769.8,402.2,UPI,Cancelled,Carrillo Inc,nicoleshaffer@conway-young.com,41,No,0
ORD1002,12-10-2025,17-10-2025,CUST855,Justin Turner,Consumer,PROD2195,Dining Table,Furniture,East,Kentucky,Lake Kristinland,3,3212,0,9636,6645.77,2990.23,Net Banking,Returned,Mcclain-Weaver,ann40@taylor-murray.com,36,No,0
ORD1003,01-10-2025,07-10-2025,CUST717,Amanda Morris,Home Office,PROD2574,Notebook,Office Supplies,East,Alaska,North Renee,8,512,20,3276.8,2607.26,669.54,Credit Card,Delivered,Bradford-Wade,michael23@howard.com,22,No,0
ORD1004,24-05-2025,30-05-2025,CUST216,Anthony Johnson,Home Office,PROD7886,Monitor,Electronics,North,Maryland,Ortizberg,5,1340,0,6700,5392.35,1307.65,Credit Card,Pending,Jenkins-Davis,weaverkimberly@walsh-wilson.com,25,No,0
ORD1005,06-10-2025,09-10-2025,CUST132,Christine Jones,Corporate,PROD7983,Headphones,Electronics,North,Virginia,Ortegamouth,10,4278,0,42780,35236.98,7543.02,UPI,Pending,Herman-Richard,pamela58@payne.com,8,Yes,40
ORD1006,05-09-2025,08-09-2025,CUST898,Bonnie Wood,Corporate,PROD6047,Office Chair,Furniture,South,South Dakota,Port Trevorhaven,5,2498,10,11241,9012.35,2228.65,UPI,Cancelled,Lowe-Bowman,matthewthompson@schmidt-harris.org,21,No,0
ORD1007,24-04-2025,30-04-2025,CUST863,Ryan Horn,Corporate,PROD8624,Calculator,Office Supplies,East,Arkansas,North Charlesborough,10,662,5,6289,5014.21,1274.79,Credit Card,Cancelled,Matthews-Horne,colson@price.org,25,No,0
ORD1008,21-04-2025,22-04-2025,CUST590,Shannon Ramirez,Corporate,PROD4078,Mouse,Electronics,South,South Dakota,Ianside,3,2578,15,6573.9,3985.89,2588.01,UPI,Cancelled,"Morris, Ball and Ortega",tina56@ramos-gray.com,39,No,0
ORD1009,18-03-2024,19-03-2024,CUST780,Eduardo Mooney,Home Office,PROD3242,Laptop,Electronics,West,Colorado,Williamstown,2,3334,15,5667.8,4619.19,1048.61,Credit Card,Pending,Davis-Robles,jimenezvanessa@pena.org,5,Yes,23
ORD1010,07-03-2024,13-03-2024,CUST874,Sabrina Baker,Home Office,PROD1719,Laptop,Electronics,South,Alabama,West Madison,2,1497,20,2395.2,2128.08,267.12,UPI,Delivered,Carroll Group,cnguyen@brown.info,4,Yes,42
ORD1011,19-10-2024,24-10-2024,CUST248,Jared Smith,Consumer,PROD5900,Laptop,Electronics,East,Rhode Island,Lake Christinamouth,7,573,15,3409.35,2479.13,930.22,Net Banking,Returned,Hansen-Mendoza,charlenejohnson@robinson.com,43,No,0
ORD1012,02-05-2025,09-05-2025,CUST994,Christina Barnett,Home Office,PROD9122,Keyboard,Electronics,South,Arkansas,Michellestad,9,2579,0,23211,17601.87,5609.13,UPI,Delivered,"Mckay, Graham and Fernandez",carol78@gibson.com,36,No,0
ORD1013,15-02-2025,21-02-2025,CUST893,Valerie Copeland,Consumer,PROD1250,Stapler,Office Supplies,South,New York,West Carolynmouth,7,4119,20,23066.4,17986.57,5079.83,Cash,Returned,Callahan-Russell,judywright@perez-thomas.net,43,No,0
ORD1014,20-02-2024,22-02-2024,CUST223,Sandra Jenkins,Corporate,PROD9867,Office Chair,Furniture,East,West Virginia,Myersbury,4,442,15,1502.8,1292.25,210.55,Cash,Pending,Barajas LLC,romanjohn@white-harvey.org,48,No,0
ORD1015,30-01-2026,31-01-2026,CUST658,Samantha Kelley,Consumer,PROD7251,Bookshelf,Furniture,West,North Carolina,Georgeland,5,1460,0,7300,5800.16,1499.84,UPI,Delivered,Alexander-Finley,davisallison@mills.com,21,No,0
ORD1016,02-01-2026,03-01-2026,CUST700,Johnathan Day,Consumer,PROD3053,Stapler,Office Supplies,West,New York,West Gabrielburgh,7,4241,0,29687,24749.85,4937.15,Cash,Returned,"Baker, Walker and Jones",nicolekent@martin-green.info,41,No,0
ORD1017,17-04-2024,20-04-2024,CUST338,George Mcdaniel,Home Office,PROD2137,Laptop,Electronics,East,Montana,New Tamara,7,2778,20,15556.8,10245.41,5311.39,UPI,Cancelled,Watson PLC,colecarrie@crawford.com,5,Yes,32
ORD1018,11-07-2025,12-07-2025,CUST940,Blake Jennings,Consumer,PROD8768,Mouse,Electronics,South,Nevada,North Courtneyfort,1,3696,5,3511.2,3136.05,375.15,Cash,Cancelled,Hunter Group,jacobjones@bauer.com,5,Yes,32
ORD1019,29-12-2024,02-01-2025,CUST256,Yvonne Nolan,Corporate,PROD4643,Stapler,Office Supplies,North,New York,West Christopher,4,1562,0,6248,3988.79,2259.21,UPI,Cancelled,Park-Williams,edward50@johnson-velasquez.com,3,Yes,24
ORD1020,20-03-2024,21-03-2024,CUST979,Jose Brock,Consumer,PROD4095,Calculator,Office Supplies,South,Ohio,New Anthonyview,5,3233,5,15356.75,13288.05,2068.7,Cash,Delivered,Silva PLC,sean07@thomas-turner.com,3,Yes,46
ORD1021,24-01-2026,30-01-2026,CUST952,Theresa Cook,Home Office,PROD5982,Dining Table,Furniture,South,Iowa,North Aliciaborough,8,3077,10,22154.4,15957.45,6196.95,Net Banking,Cancelled,Fritz-Wallace,wilcoxkeith@perry.com,50,No,0
ORD1022,17-06-2025,21-06-2025,CUST609,Lance Bennett,Corporate,PROD9138,Dining Table,Furniture,West,Colorado,Tylertown,1,3442,20,2753.6,1787.56,966.04,Net Banking,Delivered,Rose Ltd,denisejohnson@lee.com,35,No,0
